compound_name,smiles,wavenumber_cm1,transmittance
acetonitrile,CC#N,2250.6,0.07348
acetonitrile,CC#N,2265.06,0.072616
acetonitrile,CC#N,2279.52,0.119867
acetonitrile,CC#N,2293.98,0.079644
acetonitrile,CC#N,2308.43,0.075741
acetonitrile,CC#N,2322.89,0.082346
acetonitrile,CC#N,2337.35,0.032241
acetonitrile,CC#N,2351.81,0.021959
acetonitrile,CC#N,2366.27,0.023495
acetonitrile,CC#N,2380.72,0.02272
acetonitrile,CC#N,2395.18,0.027026
acetonitrile,CC#N,2409.64,0.027552
acetonitrile,CC#N,2424.1,0.026044
acetonitrile,CC#N,2438.55,0.026511
acetonitrile,CC#N,2453.01,0.01691
acetonitrile,CC#N,2467.47,0.018596
acetonitrile,CC#N,2481.93,0.021569
acetonitrile,CC#N,2496.39,0.018814
acetonitrile,CC#N,2510.84,0.017157
acetonitrile,CC#N,2525.3,0.014556
acetonitrile,CC#N,2539.76,0.011755
acetonitrile,CC#N,2554.22,0.013864
acetonitrile,CC#N,2568.67,0.011803
acetonitrile,CC#N,2583.13,0.01297
acetonitrile,CC#N,2597.59,0.026572
acetonitrile,CC#N,2612.05,0.047953
acetonitrile,CC#N,2626.51,0.038971
acetonitrile,CC#N,2640.96,0.017548
acetonitrile,CC#N,2655.42,0.006249
acetonitrile,CC#N,2669.88,0.002387
acetonitrile,CC#N,2684.34,0.001615
acetonitrile,CC#N,2698.8,0.001195
acetonitrile,CC#N,2713.25,0.003378
acetonitrile,CC#N,2727.71,0.006214
acetonitrile,CC#N,2742.17,0.00696
acetonitrile,CC#N,2756.63,0.012467
acetonitrile,CC#N,2771.08,0.007372
acetonitrile,CC#N,2785.54,0.006296
acetonitrile,CC#N,2800.0,0.008784
acetonitrile,CC#N,2814.46,0.009964
acetonitrile,CC#N,2828.92,0.015599
acetonitrile,CC#N,2843.37,0.030999
acetonitrile,CC#N,2857.83,0.042499
acetonitrile,CC#N,2872.29,0.063641
acetonitrile,CC#N,2886.75,0.06675
acetonitrile,CC#N,2901.2,0.057398
acetonitrile,CC#N,2915.66,0.068625
acetonitrile,CC#N,2930.12,0.12893
acetonitrile,CC#N,2944.58,0.169474
acetonitrile,CC#N,2959.04,0.123713
acetonitrile,CC#N,2973.49,0.178945
acetonitrile,CC#N,2987.95,0.114885
acetonitrile,CC#N,3002.41,0.053914
acetonitrile,CC#N,3016.87,0.073679
acetonitrile,CC#N,3031.33,0.06446
acetonitrile,CC#N,3045.78,0.054902
acetonitrile,CC#N,3060.24,0.057712
acetonitrile,CC#N,3074.7,0.046287
acetonitrile,CC#N,3089.16,0.035112
acetonitrile,CC#N,3103.61,0.033549
acetonitrile,CC#N,3118.07,0.026353
acetonitrile,CC#N,3132.53,0.021784
acetonitrile,CC#N,3146.99,0.029891
acetonitrile,CC#N,3161.45,0.04417
acetonitrile,CC#N,3175.9,0.038936
acetonitrile,CC#N,3190.36,0.063705
acetonitrile,CC#N,3204.82,0.031261
acetonitrile,CC#N,3219.28,0.013975
acetonitrile,CC#N,3233.73,0.014905
acetonitrile,CC#N,3248.19,0.006481
acetonitrile,CC#N,3262.65,0.005574
acetonitrile,CC#N,3277.11,0.00549
acetonitrile,CC#N,3291.57,0.005826
acetonitrile,CC#N,3306.02,0.008072
acetonitrile,CC#N,3320.48,0.008379
acetonitrile,CC#N,3334.94,0.007274
acetonitrile,CC#N,3349.4,0.006797
acetonitrile,CC#N,3363.86,0.010447
acetonitrile,CC#N,3378.31,0.007308
acetonitrile,CC#N,3392.77,0.009071
acetonitrile,CC#N,3407.23,0.008293
acetonitrile,CC#N,3421.69,0.00656
acetonitrile,CC#N,3436.14,0.006149
acetonitrile,CC#N,3450.6,0.005983
acetonitrile,CC#N,3465.06,0.006611
acetonitrile,CC#N,3479.52,0.003107
acetonitrile,CC#N,3493.98,0.004579
acetonitrile,CC#N,3508.43,0.007054
acetonitrile,CC#N,3522.89,0.005971
acetonitrile,CC#N,3537.35,0.006033
acetonitrile,CC#N,3551.81,0.002994
acetonitrile,CC#N,3566.27,0.007438
acetonitrile,CC#N,3580.72,0.006326
acetonitrile,CC#N,3595.18,0.006548
acetonitrile,CC#N,3609.64,0.005385
acetonitrile,CC#N,3624.1,0.00536
acetonitrile,CC#N,3638.55,0.00758
acetonitrile,CC#N,3653.01,0.008657
acetonitrile,CC#N,3667.47,0.006936
acetonitrile,CC#N,3681.93,0.007867
acetonitrile,CC#N,3696.39,0.005268
acetonitrile,CC#N,3710.84,0.005085
acetonitrile,CC#N,3725.3,0.003973
acetonitrile,CC#N,3739.76,0.006358
acetonitrile,CC#N,3754.22,0.006776
acetonitrile,CC#N,3768.67,0.001259
acetonitrile,CC#N,3783.13,0.004528
acetonitrile,CC#N,3797.59,0.003413
acetonitrile,CC#N,3812.05,0.005853
acetonitrile,CC#N,3826.51,0.003968
acetonitrile,CC#N,3840.96,0.006502
acetonitrile,CC#N,3855.42,0.00379
acetonitrile,CC#N,3869.88,0.006993
acetonitrile,CC#N,3884.34,0.008418
acetonitrile,CC#N,3898.8,0.007277
acetonitrile,CC#N,3913.25,0.011159
acetonitrile,CC#N,3927.71,0.010942
acetonitrile,CC#N,3942.17,0.012251
acetonitrile,CC#N,3956.63,0.006697
acetonitrile,CC#N,3971.08,0.006043
acetonitrile,CC#N,3985.54,0.006043
acetonitrile,CC#N,4000.0,0.006043
